freq_Hz,Re,Im
1.5216717585e+10,1.6377540546e+02,8.4995157658e+01
1.5316827569e+10,-1.6066218713e+02,-8.4622851276e+01
1.5416937553e+10,1.5186389470e+02,8.2726599824e+01
1.5517047538e+10,-1.5123144751e+02,-7.9658405789e+01
1.5617157522e+10,1.5211325694e+02,7.6659867143e+01
1.5717267506e+10,-1.4925401405e+02,-7.5128201169e+01
1.5817377490e+10,1.4928056655e+02,7.1168759832e+01
1.5917487474e+10,-1.4912714830e+02,-6.9132986705e+01
1.6017597458e+10,1.4994317219e+02,6.9107014660e+01
1.6117707442e+10,-1.5198325401e+02,-6.7649068592e+01
1.6217817426e+10,1.5042407262e+02,6.6139817988e+01
1.6317927410e+10,-1.4775305395e+02,-6.2807525125e+01
1.6418037395e+10,1.4953993377e+02,6.1274367867e+01
1.6518147379e+10,-1.4804159768e+02,-6.0911038906e+01
1.6618257363e+10,1.4003821211e+02,5.7517142570e+01
1.6718367347e+10,-1.3657973998e+02,-5.3051396767e+01
1.6818477331e+10,1.3964115472e+02,5.3713602828e+01
1.6918587315e+10,-1.4608633613e+02,-5.5498154874e+01
1.7018697299e+10,1.4893015911e+02,5.5636487956e+01
1.7118807283e+10,-1.4874771884e+02,-5.7480134249e+01
1.7218917268e+10,1.4819657407e+02,5.2841120968e+01
1.7319027252e+10,-1.4493433115e+02,-4.2570300743e+01
1.7419137236e+10,1.4025219029e+02,3.7275740071e+01
1.7519247220e+10,-1.3452187051e+02,-3.2030234812e+01
1.7619357204e+10,1.3261784024e+02,2.7610886791e+01
1.7719467188e+10,-1.3257160740e+02,-2.8533189022e+01
1.7819577172e+10,1.3032634048e+02,2.5149221842e+01
1.7919687156e+10,-1.2819909888e+02,-2.0336705033e+01
1.8019797140e+10,1.2994934204e+02,1.9238542368e+01
1.8119907125e+10,-1.3619608081e+02,-1.7522604463e+01
1.8220017109e+10,1.3985328406e+02,1.6146613328e+01
1.8320127093e+10,-1.3765239388e+02,-1.3561164699e+01
1.8420237077e+10,1.3352728389e+02,1.0590234902e+01
1.8520347061e+10,-1.2879428516e+02,-7.2442261464e+00
1.8620457045e+10,1.2425162272e+02,-7.1491958318e-01
1.8720567029e+10,-1.2120865820e+02,6.3364332680e+00
1.8820677013e+10,1.1970286548e+02,-3.7985952856e+00
1.8920786997e+10,-1.1806612967e+02,-1.0145077123e-01
1.9020896982e+10,1.1015847387e+02,-1.1729915470e+00
1.9121006966e+10,-1.0638611124e+02,4.3521803478e+00
1.9221116950e+10,1.0639403329e+02,-7.6603226032e+00
1.9321226934e+10,-1.0386920159e+02,9.9014479256e+00
1.9421336918e+10,1.0791341385e+02,-1.0778423266e+01
1.9521446902e+10,-1.0757496512e+02,8.5420142276e+00
1.9621556886e+10,1.0087099893e+02,-6.5268620708e+00
1.9721666870e+10,-9.6297637372e+01,1.3501357255e+01
1.9821776854e+10,9.5079908940e+01,-1.9763622901e+01
1.9921886839e+10,-9.5169497439e+01,1.7875628595e+01
2.0021996823e+10,9.1342419824e+01,-1.4093639748e+01
2.0122106807e+10,-8.6197997743e+01,1.3663111812e+01
2.0222216791e+10,8.7231577808e+01,-1.5064774055e+01
2.0322326775e+10,-9.6639992939e+01,1.5537372175e+01
2.0422436759e+10,1.0261486703e+02,-1.8466112356e+01
2.0522546743e+10,-1.0238851013e+02,2.5889360023e+01
2.0622656727e+10,1.0315660016e+02,-3.2534031822e+01
2.0722766711e+10,-1.0464012709e+02,3.3141325485e+01
2.0822876696e+10,1.0136914985e+02,-3.1521610949e+01
2.0922986680e+10,-9.2456362964e+01,3.5957021218e+01
2.1023096664e+10,8.5695074439e+01,-4.5036702928e+01
2.1123206648e+10,-7.9513480429e+01,4.7049397720e+01
2.1223316632e+10,7.1317091059e+01,-4.7086134892e+01
2.1323426616e+10,-7.0678598118e+01,5.0376549082e+01
2.1423536600e+10,7.0961520735e+01,-4.9004828920e+01
2.1523646584e+10,-6.5358702232e+01,4.8723275641e+01
2.1623756568e+10,6.5860705096e+01,-4.9909314889e+01
2.1723866553e+10,-6.7011358303e+01,5.0764485066e+01
2.1823976537e+10,6.2965701516e+01,-5.3086134748e+01
2.1924086521e+10,-5.7101603550e+01,5.3798221838e+01
2.2024196505e+10,5.2703763647e+01,-5.5574645125e+01
2.2124306489e+10,-5.4420995728e+01,5.7639689837e+01
2.2224416473e+10,5.7103491903e+01,-5.8837037498e+01
2.2324526457e+10,-5.2441386896e+01,6.0805061506e+01
2.2424636441e+10,4.3592001306e+01,-5.8678095571e+01
2.2524746426e+10,-4.2824408114e+01,5.6734153161e+01
2.2624856410e+10,4.5653668845e+01,-5.9036013813e+01
2.2724966394e+10,-4.7599803226e+01,5.8111797429e+01
2.2825076378e+10,4.6227067816e+01,-5.4672535830e+01
2.2925186362e+10,-3.7708893433e+01,4.9040629781e+01
2.3025296346e+10,3.4746197549e+01,-4.5529173289e+01
2.3125406330e+10,-3.5595334984e+01,4.8788180312e+01
2.3225516314e+10,2.8237644279e+01,-5.2726348428e+01
2.3325626298e+10,-1.7816763340e+01,5.6613135734e+01
2.3425736283e+10,2.0430096598e+01,-5.9014911256e+01
2.3525846267e+10,-3.0005876185e+01,5.5829823691e+01
2.3625956251e+10,3.0439228436e+01,-5.4671388977e+01
2.3726066235e+10,-2.6066596110e+01,5.6703237384e+01
2.3826176219e+10,2.0868465733e+01,-5.9955241158e+01
2.3926286203e+10,-2.0003360420e+01,6.7184914119e+01
2.4026396187e+10,2.4190234745e+01,-6.9271592966e+01
2.4126506171e+10,-2.1380730097e+01,6.5772950084e+01
2.4226616155e+10,1.1697382564e+01,-6.3748282927e+01
2.4326726140e+10,-5.2927628293e+00,6.0925633114e+01
2.4426836124e+10,4.5352659504e+00,-5.7917638900e+01
2.4526946108e+10,-1.1189972267e+01,6.1238468515e+01
