Time(us),Differential_Amplitude
4.956054687500000607e-04,-2.744444444444444571e+02
4.968261718750000347e-04,7.851111111111110858e+02
4.980468750000000087e-04,-6.582222222222221717e+02
4.992675781249999827e-04,-3.288888888888888573e+01
5.004882812499999566e-04,4.588888888888889142e+02
5.017089843750000390e-04,-5.592222222222221717e+02
5.029296875000000130e-04,-1.288888888888888857e+02
5.041503906249999870e-04,2.188888888888888857e+02
5.053710937500000694e-04,1.488888888888888928e+01
5.065917968750000434e-04,7.093333333333333712e+02
5.078125000000000173e-04,6.665555555555555429e+02
5.090332031249999913e-04,-5.176666666666666288e+02
5.102539062499999653e-04,2.030000000000000000e+02
5.114746093749999393e-04,-5.131111111111110858e+02
5.126953125000000217e-04,-3.057777777777777715e+02
5.139160156249999957e-04,6.452222222222221717e+02
5.151367187500000781e-04,-2.624444444444444571e+02
5.163574218750000520e-04,-2.433333333333333215e+01
5.175781250000000260e-04,-3.362222222222222285e+02
5.187988281250000000e-04,-5.623333333333333712e+02
5.200195312499999740e-04,-3.885555555555555429e+02
5.212402343749999480e-04,2.992222222222222285e+02
5.224609374999999219e-04,2.708888888888889142e+02
5.236816406250000043e-04,4.566666666666666430e+01
5.249023437500000867e-04,4.233333333333333144e+02
5.261230468750000607e-04,-7.096666666666666288e+02
5.273437500000000347e-04,9.266666666666666288e+02
5.285644531250000087e-04,-1.395555555555555429e+02
5.297851562499999827e-04,1.071111111111111143e+02
5.310058593749999566e-04,2.091111111111111143e+02
5.322265624999999306e-04,2.510000000000000000e+02
5.334472656250000130e-04,-6.014444444444444571e+02
5.346679687500000954e-04,-2.134444444444444571e+02
5.358886718750000694e-04,2.117777777777777715e+02
5.371093750000000434e-04,-5.187777777777778283e+02
5.383300781250000173e-04,7.116666666666666288e+02
5.395507812499999913e-04,-2.097777777777777715e+02
5.407714843749999653e-04,-6.000000000000000000e+00
5.419921874999999393e-04,2.777777777777777715e+02
5.432128906250000217e-04,-1.361111111111111143e+02
5.444335937500001041e-04,-1.201111111111111143e+02
5.456542968750000781e-04,4.942222222222222285e+02
5.468750000000000520e-04,-7.422222222222222854e+01
5.480957031250000260e-04,-7.677777777777777146e+01
5.493164062500000000e-04,2.265555555555555429e+02
5.505371093749999740e-04,-1.810000000000000000e+02
5.517578124999999480e-04,3.261111111111110858e+02
5.529785156250000304e-04,2.721111111111110858e+02
5.541992187500000043e-04,-2.103333333333333428e+02
5.554199218750000867e-04,-1.044444444444444429e+02
5.566406250000000607e-04,1.688888888888888928e+01
5.578613281250000347e-04,-1.715555555555555429e+02
5.590820312500000087e-04,-9.077777777777777146e+01
5.603027343749999827e-04,8.422222222222222854e+01
