Time(us),Differential_Amplitude
2.795410156250000043e-04,2.803999999999999773e+02
2.807617187499999783e-04,-1.345999999999999943e+02
2.819824218750000065e-04,6.900000000000000000e+02
2.832031250000000347e-04,8.170000000000000284e+01
2.844238281250000087e-04,4.938999999999999773e+02
2.856445312499999827e-04,3.400000000000000000e+01
2.868652343750000108e-04,4.611999999999999886e+02
2.880859374999999848e-04,3.398999999999999773e+02
2.893066406250000130e-04,7.107000000000000455e+02
2.905273437499999870e-04,1.794000000000000057e+02
2.917480468750000152e-04,1.804000000000000057e+02
2.929687499999999892e-04,-4.931999999999999886e+02
2.941894531250000173e-04,-4.208999999999999773e+02
2.954101562499999913e-04,-6.383999999999999773e+02
2.966308593750000195e-04,-7.097999999999999545e+02
2.978515624999999935e-04,2.470000000000000000e+02
2.990722656250000217e-04,-2.650000000000000000e+02
3.002929687499999957e-04,-5.253999999999999773e+02
3.015136718750000239e-04,-1.289000000000000057e+02
3.027343749999999978e-04,-1.319000000000000057e+02
3.039550781249999718e-04,-2.771999999999999886e+02
3.051757812500000000e-04,-3.605000000000000000e+02
3.063964843750000282e-04,1.855999999999999943e+02
3.076171875000000022e-04,1.978000000000000114e+02
3.088378906249999761e-04,1.654000000000000057e+02
3.100585937500000043e-04,4.875000000000000000e+02
3.112792968750000325e-04,-4.031000000000000227e+02
3.125000000000000065e-04,-7.100000000000000000e+01
3.137207031249999805e-04,-2.510000000000000142e+01
3.149414062500000087e-04,2.410999999999999943e+02
3.161621093750000369e-04,-4.750000000000000000e+01
3.173828125000000108e-04,-2.755000000000000000e+02
3.186035156249999848e-04,-7.217000000000000455e+02
3.198242187500000130e-04,-4.970000000000000284e+01
3.210449218750000412e-04,7.173999999999999773e+02
3.222656250000000152e-04,-1.367200000000000045e+03
3.234863281249999892e-04,-5.056000000000000227e+02
3.247070312500000173e-04,3.240000000000000000e+02
3.259277343749999913e-04,2.525999999999999943e+02
3.271484375000000195e-04,-2.471999999999999886e+02
3.283691406249999935e-04,1.150000000000000000e+02
3.295898437500000217e-04,5.615000000000000000e+02
3.308105468749999957e-04,2.621000000000000227e+02
3.320312500000000239e-04,3.800000000000000000e+01
3.332519531249999978e-04,9.179999999999999716e+01
3.344726562500000260e-04,-3.093000000000000114e+02
3.356933593750000000e-04,5.793999999999999773e+02
3.369140625000000282e-04,8.082000000000000455e+02
3.381347656250000022e-04,-4.908000000000000114e+02
3.393554687500000304e-04,2.888000000000000114e+02
3.405761718750000043e-04,3.398000000000000114e+02
3.417968749999999783e-04,-6.915000000000000000e+02
3.430175781250000065e-04,4.935000000000000000e+02
3.442382812500000347e-04,2.611000000000000227e+02
3.454589843750000087e-04,-6.285000000000000000e+02
3.466796874999999827e-04,1.512900000000000091e+03
3.479003906250000108e-04,1.555000000000000000e+02
3.491210937500000390e-04,-1.018000000000000000e+03
3.503417968750000130e-04,5.983999999999999773e+02
3.515624999999999870e-04,-6.225000000000000000e+02
3.527832031249999610e-04,7.998999999999999773e+02
3.540039062500000434e-04,5.663999999999999773e+02
3.552246093750000173e-04,-4.041000000000000227e+02
3.564453124999999913e-04,-1.354000000000000057e+02
3.576660156249999653e-04,-7.500000000000000000e+01
3.588867187500000477e-04,-6.318999999999999773e+02
3.601074218750000217e-04,-4.096999999999999886e+02
3.613281249999999957e-04,1.674000000000000057e+02
3.625488281249999696e-04,-6.920000000000000284e+01
3.637695312500000520e-04,5.656000000000000227e+02
3.649902343750000260e-04,-7.002000000000000455e+02
3.662109375000000000e-04,3.068999999999999773e+02
3.674316406249999740e-04,7.135000000000000000e+02
3.686523437500000022e-04,2.235000000000000000e+02
3.698730468750000304e-04,7.459999999999999432e+01
3.710937500000000043e-04,2.976999999999999886e+02
3.723144531249999783e-04,3.410000000000000000e+02
3.735351562500000065e-04,-1.180999999999999943e+02
3.747558593750000347e-04,9.879999999999999716e+01
3.759765625000000087e-04,-7.828999999999999773e+02
3.771972656249999827e-04,1.710000000000000142e+01
3.784179687500000108e-04,-5.435000000000000000e+02
3.796386718749999848e-04,-2.861999999999999886e+02
3.808593750000000130e-04,-4.285000000000000000e+02
3.820800781249999870e-04,1.873000000000000114e+02
3.833007812500000152e-04,4.728999999999999773e+02
3.845214843749999892e-04,5.189999999999999858e+01
3.857421875000000173e-04,-7.720000000000000000e+02
3.869628906249999913e-04,-9.406000000000000227e+02
3.881835937500000195e-04,3.725000000000000000e+02
3.894042968749999935e-04,-1.052900000000000091e+03
3.906249999999999675e-04,1.644000000000000057e+02
3.918457031249999957e-04,3.650000000000000000e+01
3.930664062500000239e-04,2.836000000000000227e+02
3.942871093749999978e-04,2.566000000000000227e+02
3.955078124999999718e-04,-6.076000000000000227e+02
3.967285156250000542e-04,-1.049900000000000091e+03
3.979492187500000282e-04,6.280000000000000000e+02
3.991699218750000022e-04,1.159000000000000057e+02
4.003906249999999761e-04,7.520000000000000000e+02
4.016113281250000585e-04,5.392000000000000455e+02
4.028320312500000325e-04,1.755999999999999943e+02
4.040527343750000065e-04,-3.258000000000000114e+02
4.052734374999999805e-04,-3.236999999999999886e+02
4.064941406250000087e-04,-1.569999999999999929e+01
4.077148437500000369e-04,-2.305999999999999943e+02
4.089355468750000108e-04,1.173400000000000091e+03
4.101562499999999848e-04,1.014000000000000057e+02
4.113769531250000130e-04,9.897999999999999545e+02
4.125976562500000412e-04,-1.453000000000000114e+02
4.138183593750000152e-04,6.150000000000000000e+02
4.150390624999999892e-04,2.808000000000000114e+02
4.162597656250000173e-04,-1.333000000000000114e+02
4.174804687499999913e-04,3.371000000000000227e+02
