Time(us),Amplitude
4.492187499999999653e-04,2.128950000000000000e+04
4.504394531250000477e-04,2.139650000000000000e+04
4.516601562500000217e-04,2.036300000000000000e+04
4.528808593749999957e-04,2.101679999999999927e+04
4.541015624999999696e-04,2.118540000000000146e+04
4.553222656250000520e-04,2.102729999999999927e+04
4.565429687500000260e-04,2.061809999999999854e+04
4.577636718750000000e-04,2.090579999999999927e+04
4.589843749999999740e-04,2.107809999999999854e+04
4.602050781250000022e-04,2.150090000000000146e+04
4.614257812500000304e-04,2.051800000000000000e+04
4.626464843750000043e-04,2.147440000000000146e+04
4.638671874999999783e-04,2.117650000000000000e+04
4.650878906250000065e-04,2.147029999999999927e+04
4.663085937499999805e-04,2.145959999999999854e+04
4.675292968749999545e-04,2.137479999999999927e+04
4.687500000000000369e-04,2.044359999999999854e+04
4.699707031250000651e-04,2.132870000000000073e+04
4.711914062500000390e-04,2.124140000000000146e+04
4.724121093750000130e-04,2.072170000000000073e+04
4.736328125000000412e-04,2.115779999999999927e+04
4.748535156250000152e-04,2.190029999999999927e+04
4.760742187499999892e-04,2.106220000000000073e+04
4.772949218749999631e-04,2.108529999999999927e+04
4.785156249999999913e-04,2.149759999999999854e+04
4.797363281250000737e-04,2.089309999999999854e+04
4.809570312500000477e-04,2.152279999999999927e+04
4.821777343750000217e-04,2.115529999999999927e+04
4.833984375000000499e-04,2.103879999999999927e+04
4.846191406250000239e-04,2.172640000000000146e+04
4.858398437499999978e-04,2.129950000000000000e+04
4.870605468749999718e-04,2.188190000000000146e+04
4.882812500000000000e-04,2.053050000000000000e+04
4.895019531249999740e-04,2.065740000000000146e+04
4.907226562500000564e-04,2.129140000000000146e+04
4.919433593750000304e-04,2.071020000000000073e+04
4.931640625000000043e-04,2.185540000000000146e+04
4.943847656249999783e-04,2.174850000000000000e+04
4.956054687500000607e-04,2.221020000000000073e+04
4.968261718750000347e-04,2.115729999999999927e+04
4.980468750000000087e-04,2.115859999999999854e+04
4.992675781249999827e-04,2.084609999999999854e+04
5.004882812499999566e-04,2.057440000000000146e+04
5.017089843750000390e-04,2.156770000000000073e+04
5.029296875000000130e-04,2.105270000000000073e+04
5.041503906249999870e-04,2.091470000000000073e+04
5.053710937500000694e-04,2.147620000000000073e+04
5.065917968750000434e-04,2.163950000000000000e+04
5.078125000000000173e-04,2.181400000000000000e+04
5.090332031249999913e-04,2.148540000000000146e+04
5.102539062499999653e-04,2.084140000000000146e+04
5.114746093749999393e-04,2.102650000000000000e+04
5.126953125000000217e-04,2.137620000000000073e+04
5.139160156249999957e-04,2.047220000000000073e+04
5.151367187500000781e-04,2.137890000000000146e+04
5.163574218750000520e-04,2.171370000000000073e+04
5.175781250000000260e-04,2.102540000000000146e+04
5.187988281250000000e-04,2.129829999999999927e+04
5.200195312499999740e-04,2.101000000000000000e+04
5.212402343749999480e-04,2.114350000000000000e+04
5.224609374999999219e-04,2.133790000000000146e+04
5.236816406250000043e-04,2.090329999999999927e+04
5.249023437500000867e-04,2.124529999999999927e+04
5.261230468750000607e-04,2.081879999999999927e+04
5.273437500000000347e-04,2.158900000000000000e+04
5.285644531250000087e-04,2.122970000000000073e+04
5.297851562499999827e-04,2.205300000000000000e+04
5.310058593749999566e-04,2.134729999999999927e+04
5.322265624999999306e-04,2.111940000000000146e+04
5.334472656250000130e-04,2.085850000000000000e+04
5.346679687500000954e-04,2.109279999999999927e+04
5.358886718750000694e-04,2.115229999999999927e+04
5.371093750000000434e-04,2.143500000000000000e+04
5.383300781250000173e-04,2.094579999999999927e+04
5.395507812499999913e-04,2.115479999999999927e+04
5.407714843749999653e-04,2.082100000000000000e+04
5.419921874999999393e-04,2.124820000000000073e+04
5.432128906250000217e-04,2.093700000000000000e+04
5.444335937500001041e-04,2.125190000000000146e+04
5.456542968750000781e-04,2.152640000000000146e+04
5.468750000000000520e-04,2.086090000000000146e+04
5.480957031250000260e-04,2.099609999999999854e+04
5.493164062500000000e-04,2.134809999999999854e+04
5.505371093749999740e-04,2.069870000000000073e+04
5.517578124999999480e-04,2.132040000000000146e+04
5.529785156250000304e-04,2.124270000000000073e+04
5.541992187500000043e-04,2.150840000000000146e+04
5.554199218750000867e-04,2.127570000000000073e+04
5.566406250000000607e-04,2.084579999999999927e+04
5.578613281250000347e-04,2.105029999999999927e+04
5.590820312500000087e-04,2.150070000000000073e+04
5.603027343749999827e-04,2.091290000000000146e+04
5.615234374999999566e-04,2.078020000000000073e+04
5.627441406250000390e-04,2.097150000000000000e+04
5.639648437500000130e-04,2.047320000000000073e+04
5.651855468749999870e-04,2.060309999999999854e+04
5.664062500000000694e-04,2.129100000000000000e+04
5.676269531250000434e-04,2.084429999999999927e+04
5.688476562500000173e-04,2.081370000000000073e+04
5.700683593749999913e-04,2.087809999999999854e+04
5.712890624999999653e-04,2.159340000000000146e+04
5.725097656250000477e-04,2.133459999999999854e+04
5.737304687500000217e-04,2.107740000000000146e+04
5.749511718749999957e-04,2.139450000000000000e+04
5.761718749999999696e-04,2.086240000000000146e+04
5.773925781250000520e-04,2.159579999999999927e+04
5.786132812500000260e-04,2.167600000000000000e+04
5.798339843750000000e-04,2.124209999999999854e+04
5.810546874999999740e-04,2.073840000000000146e+04
5.822753906250000564e-04,2.131020000000000073e+04
5.834960937500000304e-04,2.155490000000000146e+04
5.847167968750000043e-04,2.151859999999999854e+04
5.859374999999999783e-04,2.097600000000000000e+04
5.871582031249999523e-04,2.093370000000000073e+04
5.883789062500000347e-04,2.111850000000000000e+04
5.895996093750000087e-04,2.212520000000000073e+04
5.908203124999999827e-04,2.139950000000000000e+04
5.920410156250000651e-04,2.128020000000000073e+04
5.932617187500000390e-04,2.173250000000000000e+04
5.944824218750000130e-04,2.067520000000000073e+04
5.957031249999999870e-04,2.114209999999999854e+04
5.969238281249999610e-04,2.102459999999999854e+04
5.981445312500000434e-04,2.166950000000000000e+04
5.993652343750000173e-04,2.136570000000000073e+04
6.005859374999999913e-04,2.074159999999999854e+04
6.018066406250000737e-04,2.111370000000000073e+04
6.030273437500000477e-04,2.126609999999999854e+04
6.042480468750000217e-04,2.119609999999999854e+04
6.054687499999999957e-04,2.140279999999999927e+04
6.066894531249999696e-04,2.101600000000000000e+04
6.079101562499999436e-04,2.138579999999999927e+04
6.091308593750000260e-04,2.073920000000000073e+04
6.103515625000000000e-04,2.144150000000000000e+04
6.115722656250000824e-04,2.207300000000000000e+04
6.127929687500000564e-04,2.151909999999999854e+04
6.140136718750000304e-04,2.074859999999999854e+04
6.152343750000000043e-04,2.101550000000000000e+04
6.164550781249999783e-04,2.124500000000000000e+04
6.176757812499999523e-04,2.149750000000000000e+04
6.188964843749999263e-04,2.149000000000000000e+04
6.201171875000000087e-04,2.129120000000000073e+04
6.213378906250000911e-04,2.126879999999999927e+04
6.225585937500000651e-04,2.123529999999999927e+04
6.237792968750000390e-04,2.164479999999999927e+04
6.250000000000000130e-04,2.106520000000000073e+04
6.262207031249999870e-04,2.070509999999999854e+04
6.274414062499999610e-04,2.126370000000000073e+04
6.286621093749999349e-04,2.116059999999999854e+04
6.298828125000000173e-04,2.144570000000000073e+04
6.311035156250000997e-04,2.158229999999999927e+04
6.323242187500000737e-04,2.222329999999999927e+04
6.335449218750000477e-04,2.132520000000000073e+04
6.347656250000000217e-04,2.112340000000000146e+04
6.359863281249999957e-04,2.144620000000000073e+04
6.372070312499999696e-04,2.114529999999999927e+04
6.384277343749999436e-04,2.096629999999999927e+04
6.396484375000000260e-04,2.168300000000000000e+04
6.408691406250000000e-04,2.123859999999999854e+04
6.420898437500000824e-04,2.063170000000000073e+04
6.433105468750000564e-04,2.130490000000000146e+04
6.445312500000000304e-04,2.181650000000000000e+04
6.457519531250000043e-04,2.102950000000000000e+04
6.469726562499999783e-04,2.112920000000000073e+04
6.481933593749999523e-04,2.105540000000000146e+04
6.494140625000000347e-04,2.088229999999999927e+04
6.506347656250000087e-04,2.180959999999999854e+04
6.518554687499999827e-04,2.125270000000000073e+04
6.530761718750000651e-04,2.089859999999999854e+04
6.542968750000000390e-04,2.128770000000000073e+04
6.555175781250000130e-04,2.110540000000000146e+04
6.567382812499999870e-04,2.079440000000000146e+04
6.579589843749999610e-04,2.094670000000000073e+04
6.591796875000000434e-04,2.129540000000000146e+04
6.604003906250000173e-04,2.093920000000000073e+04
6.616210937499999913e-04,2.081079999999999927e+04
6.628417968750000737e-04,2.113109999999999854e+04
6.640625000000000477e-04,2.129100000000000000e+04
6.652832031250000217e-04,2.145209999999999854e+04
6.665039062499999957e-04,2.182700000000000000e+04
6.677246093749999696e-04,2.177200000000000000e+04
6.689453125000000520e-04,2.173000000000000000e+04
6.701660156250000260e-04,2.094690000000000146e+04
6.713867187500000000e-04,2.048350000000000000e+04
6.726074218749999740e-04,2.143279999999999927e+04
6.738281250000000564e-04,2.159750000000000000e+04
6.750488281250000304e-04,2.142320000000000073e+04
6.762695312500000043e-04,2.094109999999999854e+04
6.774902343749999783e-04,2.143200000000000000e+04
6.787109375000000607e-04,2.079209999999999854e+04
6.799316406250000347e-04,2.121729999999999927e+04
6.811523437500000087e-04,2.080079999999999927e+04
6.823730468749999827e-04,2.104570000000000073e+04
6.835937499999999566e-04,2.057050000000000000e+04
6.848144531250000390e-04,2.150329999999999927e+04
6.860351562500000130e-04,2.111529999999999927e+04
6.872558593749999870e-04,2.156020000000000073e+04
6.884765625000000694e-04,2.080140000000000146e+04
6.896972656250000434e-04,2.099720000000000073e+04
6.909179687500000173e-04,2.066500000000000000e+04
6.921386718749999913e-04,2.068570000000000073e+04
6.933593749999999653e-04,2.079979999999999927e+04
6.945800781249999393e-04,2.158959999999999854e+04
6.958007812500000217e-04,2.170820000000000073e+04
6.970214843749999957e-04,2.164109999999999854e+04
6.982421875000000781e-04,2.096059999999999854e+04
6.994628906250000520e-04,2.129750000000000000e+04
7.006835937500000260e-04,2.121890000000000146e+04
7.019042968750000000e-04,2.148920000000000073e+04
7.031249999999999740e-04,2.122429999999999927e+04
7.043457031249999480e-04,2.172959999999999854e+04
7.055664062499999219e-04,2.103320000000000073e+04
7.067871093750000043e-04,2.097340000000000146e+04
7.080078125000000867e-04,2.121650000000000000e+04
